code,name
SZ.002755,奥赛康
SZ.002761,浙江建投
SZ.002768,国恩股份
SZ.002779,中坚科技
SZ.002807,江阴银行
SZ.002815,崇达技术
SZ.002827,高争民爆
SZ.002832,比音勒芬
SZ.002838,道恩股份
SZ.002839,张家港行
SZ.002840,华统股份
SZ.002847,盐津铺子
SZ.002859,洁美科技
SZ.002867,周大生
SZ.002881,美格智能
SZ.002882,金龙羽
SZ.002891,中宠股份
SZ.002892,科力尔
SZ.002895,川恒股份
SZ.002896,中大力德
SZ.002897,意华股份
SZ.002901,大博医疗
SZ.002906,华阳集团
SZ.002911,佛燃能源
SZ.002913,奥士康
SZ.002922,伊戈尔
SZ.002925,盈趣科技
SZ.002928,华夏航空
SZ.002929,润建股份
SZ.002936,郑州银行
SZ.002941,新疆交建
SZ.002946,新乳业
SZ.002947,恒铭达
SZ.002948,青岛银行
SZ.002958,青农商行
SZ.002960,青鸟智控
SZ.002961,瑞达期货
SZ.002965,祥鑫科技
SZ.002967,广电计量
SZ.002978,安宁股份
SZ.002979,雷赛智能
SZ.002985,北摩高科
SZ.002987,京北方
SZ.002993,奥海科技
SZ.003006,百亚股份
SZ.003010,若羽臣
SZ.003039,顺控发展
SZ.300007,汉威科技
SZ.300008,天海防务
SZ.300009,安科生物
SZ.300026,红日药业
SZ.300031,宝通科技
SZ.300034,钢研高纳
SZ.300035,中科电气
SZ.300036,超图软件
SZ.300045,华力创通
SZ.300047,天源迪科
SZ.300049,福瑞医科
SZ.300065,海兰信
SZ.300070,碧水源
SZ.300075,数字政通
SZ.300077,国民技术
SZ.300080,易成新能
SZ.300083,创世纪
SZ.300085,银之杰
SZ.300088,长信科技
SZ.300098,高新兴
SZ.300101,振芯科技
SZ.300102,乾照光电
SZ.300113,顺网科技
SZ.300119,瑞普生物
SZ.300127,银河磁体
SZ.300130,新国都
SZ.300131,英唐智控
SZ.300133,华策影视
SZ.300134,大富科技
SZ.300153,科泰电源
SZ.300166,东方国信
SZ.300170,汉得信息
SZ.300171,东富龙
SZ.300180,华峰超纤
SZ.300181,佐力药业
SZ.300182,捷成股份
SZ.300184,力源信息
SZ.300185,通裕重工
SZ.300188,国投智能
SZ.300199,翰宇药业
SZ.300224,正海磁材
SZ.300229,拓尔思
SZ.300236,上海新阳
SZ.300244,迪安诊断
